id, varRNN, varRL,,Ave RNN,Ave RL
A2J43FWL1Z0FV1,-85.49640966,-78.69596732,,,
A2JJ46H36C4R9,-91.42374652,-105.5508529,,,
A2JJAEQ8LHRWNV,-122.0968807,-100.4097704,,,
A2JKVAB2TIVMH2,-86.13423136,-72.45241415,,,
A2LJTCHPRZLGS7,-110.2224564,-82.79643537,,,
A2LSOY313QEZC5,-87.11931214,-84.01473653,,,
A2NCWQFEB8XW22,-111.7423546,-121.4820966,,,
A2O4P5TOYUJUQP,-110.2760276,-110.5692482,,,
A2OLSZ6DD9I239,-81.64613029,-74.71010523,,,
A2P5UFOTXOR08T,-98.03014998,-98.79178327,,,
A2QIX7DNN0DZY6,-103.9371252,-92.80430971,,,
A2R1LWOGQJTGRL,-116.6655839,-148.8626003,,,
A2R75YFKVALBXE,-102.4914896,-97.61877986,,,
A2RLY2I4U06ETD,-88.75967744,-86.1660404,,,
A2S6QOCFC3EAYH,-100.0116437,-80.50186277,,,
A2SEO53WD09OZP,-84.49108006,-74.72674803,,,
A2SLEMDA17XTZ1,-98.29164662,-99.96168261,,,
A2SNAXBDSA5P06,-128.1941975,-130.5154051,,,
A2T2RKM6XUTWK5,-95.57272835,-86.88219744,,,
A2THYJKAEJ0XG4,-94.13741802,-80.19752812,,,
A2TV18A7NQF6I5,-96.53486288,-91.45788794,,,
A2TXUNEHPTW3Z3,-78.65019737,-82.47692649,,,
A2TZAKMALWU021,-106.9088757,-99.84923788,,,
A2TZAXWOB3JMNV,-87.93710741,-75.56522917,,,
A2TZT2OMDQFLAE,-82.53728628,-74.4248564,,,
A2U5E76S0CBA69,-115.1204022,-114.7479369,,,
A2UAHW3Q7S45JP,-93.49286181,-77.35454945,,,
A2V2DBS6NCSIQP,-83.92891926,-71.29032286,,,
A2V3P1XE33NYC3,-79.48464815,-64.6619593,,,
A2VD7F5T1CDI6,-92.91374236,-72.86044881,,,
A2VF6506WDNXKS,-88.8471105,-78.88696891,,,
A2VNE375MVLU8J,-84.02116056,-84.02680923,,,
A2VSUCEXMNSUF5,-114.1777535,-143.574606,,,
A2WH1XDJ91OSFA,-89.47975002,-79.5119315,,,
A2WJGI7XNUBRND,-92.50248701,-83.06243522,,,
A2WPHVMLLEV5ZB,-121.2996678,-135.781754,,,
A2WQPFE3ZGE5N8,-78.99419549,-68.443715,,,
A2WSSRWT4ZBHK3,-93.93690536,-83.78796553,,,
A2WTN1428D16MR,-95.15681286,-87.9466476,,,
A2WTNZHRALOHX8,-108.738821,-125.9879602,,,
A2WZ71TT9AJPV,-107.50621,-106.4314365,,,
A2XNMAZ318NXYC,-91.24144438,-82.07623,,,
A2XU1TSQD45EB4,-85.17579339,-76.94356144,,,
A2Y9O62M75TPM6,-84.81540678,-90.8506767,,,
A2YCDNVHMPVFG6,-119.3572979,-114.0138499,,,
