sid,pre accu,post accu
A9EQ4FWCUQVBL,,[0.57232704]
A9N2E4Z18H9PB,,[0.74375]
A9XRCLB9YQA31,,[0.92993631]
AAADOFXQJAVKR,,[0.57333333]
AAVXVUCG3TY5E,,[0.5]
AAW3ZDECLGIMV,,[0.67295597]
AB8PO6YYQK3YH,,[0.72327044]
AB9UVOKF0TQXB,,[0.59375]
ACM7GDJASVO93,,[0.74025974]
ADU7XJYUJLGNA,,[0.70700637]
AET7NEH3VZ0V9,,[0.74683544]
AEUTD1DUJTF2I,,[0.51948052]
AF1R0RDMKDNJX,,[0.7672956]
AG8PCITDPLLKU,,[0.79874214]
AGHKGWDYPVDFE,,[0.66875]
AH4KZU52G2WCN,,[0.69811321]
AHEV3HZNQPO5S,,[0.7672956]
AHIEURVG73I4V,,[0.6]
AI0K2LZWV73MB,,[0.63125]
AI4AO0O0WIJF7,,[0.8]
AIS4X2NYY3V1T,,[0.6375]
AJ5P0SBP4GFY1,,[0.60625]
AJD65G9H2QUE9,,[0.72327044]
AJE5OG666CBAC,,[0.61783439]
AJTLLYV8O5FQU,,[0.63125]
AKKRC4KZTELS,,[0.51315789]
AKLP966YN2LVC,,[0.55474453]
AKMOBFEEKW378,,[0.6163522]
AKMQH2MGTUWO9,,[0.51572327]
AKQAI78JTXXC9,,[0.6875]
ALDQRWYZ8KQ9A,,[0.73125]
ALRRK4B0VPPQ2,,[0.7]
ANCCKNF1DKRZO,,[0.60625]
ANO8YBLKJIO1E,,[0.59602649]
ANVEC4QSKNJLF,,[0.61875]
APKTDTD9LK539,,[0.64150943]
APP89UTQL2CHZ,,[0.66878981]
AQK19RNVF9VCT,,[0.47169811]
AR39OP4746H4F,,[0.70440252]
AS1KP4SMNONQC,,[0.625]
AS56NGGEVTZIX,,[0.73248408]
ASE79VYZNLPVD,,[0.75625]
ATJVY9O4CY5EX,,[0.81132075]
AUS42DYFLEAXL,,[0.75625]
AUS6Y1VBX9YLO,,[0.70886076]
AVASQBFN6J692,,[0.53164557]
AVUU1N5A6CH3K,,[0.8]
AWYJAKECMVVUX,,[0.7721519]
AX1U5YVHOTUEG,,[0.47435897]
AXD66TU2VX36C,,[0.6125]
AYEK5GQEE3STW,,[0.6625]
AYIFHDQSXQJ6B,,[0.69426752]
AZ9VGP5R8E9QB,,[0.51875]
AZHXFE6BIUJNV,,[0.6433121]
AZQX1CULIBR8W,,[0.70440252]
